Region,Place name,Place type,Rating,Enough Reviews,Price,Delivery option,Dine in option,Takeout option
C,Dim Kavu,Others,4.6,False,$$,False,,
C,Коферум,Cafe,5.0,False,$$,False,,True
C,Кофейня Світ Чаю,Coffee shop,5.0,False,$$,False,,True
C,Кофейня Starcoff,Coffee shop,4.4,False,$$,False,True,True
C,"Кофейня ""Friend Zone""",Coffee shop,5.0,False,$$,False,True,True
C,Racers Coffee Shop,Espresso bar,4.6,False,$$,False,True,True
C,Займемся Кофе,Coffee shop,4.6,False,$$,False,True,True
C,Кофейня Rit Rit,Coffee shop,4.6,False,$$,False,,True
C,Кав'ярня My coffee,Coffee shop,4.8,False,$$,False,True,True
C,LENЬ. Coffee & desserts.,Coffee shop,4.8,False,$$,True,True,True
C,SOVA COFFEE,Coffee shop,4.8,False,$$,False,True,True
C,Кава Тайм,Coffee shop,4.9,False,$$,False,,True
C,Skver кафе,Cafe,4.9,False,$$,False,True,True
C,Кафе на Георгіївській,Cafe,4.5,True,$,False,True,True
C,Khosper,Cafe,4.2,True,$$,False,True,True
C,Lekontina Шоколадна Майстерня,Cafe,4.7,False,$$,True,True,True
C,Lecker,Cafe,4.8,False,$$,True,True,True
C,Veterano Coffee,Coffee shop,4.5,False,$$,False,,True
C,VEIN,Cafe,4.5,False,$$,True,True,True
C,Coffee Drive,Coffee shop,4.8,False,$$,False,True,True
J,G COFFEE,Coffee shop,4.5,True,$$,True,True,
J,Kavun,Coffee shop,4.7,True,$$,True,True,
J,Buns Brew Bar,Coffee shop,4.7,True,$$,False,,True
J,Coffee House,Cafe,4.7,False,$$,False,,True
J,"""Точка кофе""",Espresso bar,4.9,False,$$,False,,True
J,Your Coffee,Cafe,4.7,True,$$,False,True,
J,KOFEiN,Cafe,4.4,True,$$$,False,True,True
J,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,4.8,False,$$,False,True,True
J,Misceva kavyarnya,Coffee shop,4.5,True,$$,False,True,True
J,Dzhi,Cafe,4.5,True,$$,True,True,True
J,Gangster coffee shop,Others,4.7,False,$$,True,,
J,Crema Caffe Poltava,Coffee shop,4.3,False,$$,False,,True
J,COFFBOY,Coffee shop,4.7,False,$$,False,True,True
J,Wake Up Coffee,Coffee shop,4.9,False,$$,False,,True
J,Lviv Handmade Chocolate,Others,4.6,True,$$,False,True,True
J,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Others,5.0,False,$$,False,,
J,Aroma kava,Cafe,4.4,False,$$,False,True,True
J,Koffishka,Coffee shop,4.1,True,$$,False,True,True
J,ЗАКУТОК - coffee hookah point,Coffee shop,5.0,False,$$,False,,
J,CoffeePot,Coffee shop,5.0,False,$$,False,True,
F,Coffee 66,Cafe,5.0,False,$$,False,,True
F,Godshot Coffee,Cafe,4.7,True,$$,False,True,True
F,Verona,Others,4.5,True,$$,True,True,
F,Prostir.coffee Таврик,Coffee shop,5.0,False,$$,False,True,
F,I love coffee,Coffee shop,4.7,True,$$,False,True,True
F,coffee House,Coffee shop,4.7,False,$$,False,True,True
F,Дом Кофе,Coffee shop,4.6,False,$$,False,True,True
F,CoffeeOk,Coffee shop,4.9,False,$$,False,,True
F,Кофе с Совой,Espresso bar,4.9,False,$$,False,,True
F,Кофе В Херсоне,Cafe,,False,$$,False,,
F,Prostir.coffee,Coffee shop,4.7,True,$$,True,True,True
F,Don Marco coffee shop,Coffee shop,4.4,True,$$,False,True,True
F,HOTCUP,Cafe,4.6,False,$$,False,,True
F,Koko,Coffee shop,4.4,True,$$,False,True,True
F,Coffee house,Coffee shop,4.4,False,$$,False,,True
F,Coffeehouse Na Poshtovomu Provulku,Coffee shop,4.6,False,$$,False,True,True
F,Just Coffee Kherson,Espresso bar,4.5,False,$$,False,,True
F,Don Marco,Coffee shop,4.4,False,$$,False,True,True
F,Green house,Cafe,4.5,True,$$,True,True,True
F,Kofemolka,Coffee shop,4.7,False,$$,False,,True
B,Art Coffee,Espresso bar,4.6,False,$$,False,,
B,Art Coffee - Інтернет Магазин Кави та Чаю,Others,5.0,False,$$,True,,
B,Coffeeshop GRANO,Cafe,4.9,False,$$,False,,True
B,"Мастерская ""Кофе на разлив""",Others,5.0,False,$$,False,,
B,Coffeeсть,Coffee shop,4.6,False,$$,False,True,True
B,The Boiler Room,Coffee shop,4.8,False,$$,False,True,
B,Dim Kavy,Espresso bar,4.8,False,$$,False,,
B,"Интернет-магазин ""Kava-e""",Others,4.7,False,$$,False,,
B,Coffee House,Others,4.7,False,$$,False,,
B,Jays : Coffee Brewers,Others,4.5,False,$$,False,,True
B,Caffisimo,Espresso bar,4.5,False,$$,False,,
B,MY COFFEE,Coffee shop,4.5,False,$$,False,True,True
B,"Kaffe ""Na Peskah""",Cafe,4.2,False,$$,False,True,True
B,LittleTalk Coffee,Coffee shop,4.6,False,$$,False,True,True
B,Столовая BUFET,Cafe,5.0,False,$$,True,True,True
B,Svit kavy,Coffee shop,4.6,True,$$,False,True,True
B,Comeback coffee & more,Cafe,4.8,True,$$,False,True,True
B,Coffeelab Roasters,Coffee shop,4.7,True,$$,False,True,True
B,Cholla & Joshua,Espresso bar,4.6,True,$$,False,True,
B,Dobra Kava,Cafe,4.3,True,$$,True,True,
A,Смажимо каву в Одесі. Обсмажувальна №2,Coffee shop,4.7,False,$$,False,True,True
A,Traveler`s Coffee,Coffee shop,4.6,True,$$,True,True,True
A,Кофе База Одесса | Coffee Baza,Others,5.0,False,$$,False,,
A,We Roast Coffee in Odessa,Coffee shop,4.5,False,$$,False,True,True
A,Burso_Coffee,Coffee shop,5.0,False,$$,False,True,True
A,Foundation Coffee Roasters,Espresso bar,4.7,True,$$,True,True,
A,Red Cup Coffee Roasters,Others,5.0,False,$$,False,,
A,Krem Kafe,Coffee shop,4.9,False,$$,False,True,
A,FAB.,Others,4.9,False,$$,False,True,True
A,Zheto,Coffee shop,4.8,True,$$,False,True,True
A,Eclair&Coffee,Espresso bar,4.9,False,$$,False,,
A,Coffee Room,Coffee shop,4.7,False,$$,False,True,True
A,Смажимо каву. Обсмажувальна N3,Coffee shop,4.6,False,$$,False,,
A,kofevarka.odessa.ua,Others,4.6,False,$$,True,,
A,Anso Coffee,Coffee shop,4.9,False,$$,False,True,
A,Pasadena Coffee,Coffee shop,4.9,False,$$,False,True,
A,Coffeetory Кофетория,Coffee shop,4.6,True,$$,True,True,True
A,MY COFFEE,Coffee shop,4.8,False,$$,False,True,True
A,Жарим Кофе в Одессе. Обжарочная №4,Coffee shop,4.7,False,$$,False,,
A,Coffee break ZAVIDA,Coffee shop,4.9,False,$$,False,,
E,Lviv Coffee Manufacture,Coffee shop,4.7,True,$$,True,True,True
E,Svit Kavy,Coffee shop,4.6,True,$$,False,True,True
E,Na bambetli,Coffee shop,4.7,True,$$,False,True,True
E,Golden Ducat,Coffee shop,4.4,True,$$,False,True,True
E,Lviv coffee manufacture (Valova),Coffee shop,4.6,True,$$,False,True,True
E,SDV Coffee,Coffee shop,4.8,True,$$,False,True,True
E,Fixage,Coffee shop,4.6,True,$$,False,True,True
E,Svit Kavy,Coffee shop,4.3,False,$$,False,True,True
E,Lviv Coffee Manufacture,Coffee shop,4.5,True,$$,False,True,True
E,Lʹvivsʹka Manufaktura Kavy,Coffee shop,4.6,True,$$,False,True,True
E,Вірменка,Coffee shop,4.8,True,$$,False,True,True
E,Saturdays Coffee Цирк,Coffee shop,5.0,False,$$,True,True,True
E,coffee House,Coffee shop,4.7,False,$$,False,True,True
E,Chekhovych,Others,4.6,True,$$,False,True,True
E,Svit Kavy (Rynok Sq.),Coffee shop,4.6,True,$$,False,True,True
E,Cafe 1,Cafe,4.6,True,$$,True,True,True
E,Liberty,Cafe,5.0,False,$$,False,,True
E,Lviv Croissants,Cafe,4.5,True,$$,False,True,True
E,Rondo Cafe,Cafe,4.9,False,$$,False,True,True
E,Karmel Coffee Shop,Coffee shop,4.9,False,$$,False,True,True
D,SV Кафе,Cafe,4.5,True,$$,True,True,True
D,I Feel Espresso Bar,Cafe,4.5,True,$$,False,True,True
D,I want coffee,Coffee shop,4.4,True,$$,False,True,True
D,Кофейня My Coffee,Cafe,4.5,False,$$,False,,True
D,Hunter's yard,Cafe,4.4,True,$$,False,True,True
D,Crema Caffe Кривий Ріг,Coffee shop,4.7,True,$$,False,True,True
D,"Tea, Coffee Shop",Others,4.6,False,$$,False,True,True
D,Антикафе 7/9 | Кривой Рог,Cafe,4.7,False,$$,False,True,
D,Чай Кофе,Cafe,4.4,False,$$,False,,
D,Coffee Craft,Cafe,4.7,False,$$,False,True,True
D,ЕТУАЛЬ КАФЕ,Cafe,4.6,False,$$$,True,True,True
D,Coffee Break,Espresso bar,4.8,False,$$,False,,True
